Train No,Train Name,SEQ,Station Code,Station Name,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Destination Station,Destination Station Name
22606,VM-PRR WKLY,16,VSKP,VISAKHAPATNA,06:15:00,06:35:00,1014,VM,VILLUPURAM JN.,PRR,PURULIA JN.
22611,MAS NJP EXPR,8,VSKP,VISAKHAPATNA,00:10:00,00:30:00,780,MAS,CHENNAI CENTRAL,NJP,NEW JALPAIGURI JN
22612,NJP MAS EXPR,15,VSKP,VISAKHAPATNA,01:10:00,01:30:00,1515,NJP,NEW JALPAIGURI JN,MAS,CHENNAI CENTRAL
22613,MAS-HLZ WEEK,5,VSKP,VISAKHAPATNA,04:10:00,04:30:00,780,MAS,CHENNAI CENTRAL,HLZ,HALDIA
22614,HLZ-MAS WEEK,11,VSKP,VISAKHAPATNA,01:50:00,02:10:00,882,HLZ,HALDIA,MAS,CHENNAI CENTRAL
22641,SHALIMAR EXP,22,VSKP,VISAKHAPATNA,22:45:00,23:05:00,1684,TVC,TRIVANDRUM CENTRAL,SHM,SHALIMAR
22642,SHM TVC SF E,16,VSKP,VISAKHAPATNA,14:05:00,14:25:00,882,SHM,SHALIMAR,TVC,TRIVANDRUM CENTRAL
22643,PATNA EXPRES,15,VSKP,VISAKHAPATNA,19:10:00,19:30:00,1478,ERS,ERNAKULAM. JN,PNBE,PATNA JN.
22644,PNBE ERS EXP,29,VSKP,VISAKHAPATNA,14:05:00,14:25:00,1306,PNBE,PATNA JN.,ERS,ERNAKULAM. JN
22707,VSKP-TPTY WK,1,VSKP,VISAKHAPATNA,22:25:00,22:25:00,0,VSKP,VISAKHAPATNAM,TPTY,TIRUPATI
22708,TPTY-VSKP TR,18,VSKP,VISAKHAPATNA,11:00:00,11:00:00,759,TPTY,TIRUPATI,VSKP,VISAKHAPATNAM
22801,VSKP MAS WEE,1,VSKP,VISAKHAPATNA,18:55:00,18:55:00,0,VSKP,VISAKHAPATNAM,MAS,CHENNAI CENTRAL
22807,SRC - MAS AC,9,VSKP,VISAKHAPATNA,07:55:00,08:20:00,877,SRC,SANTRAGACHI JN.,MAS,CHENNAI CENTRAL
22808,MAS - SRC AC,10,VSKP,VISAKHAPATNA,20:35:00,20:55:00,780,MAS,CHENNAI CENTRAL,SRC,SANTRAGACHI JN.
22809,PRDP-VSKP WE,17,VSKP,VISAKHAPATNA,08:20:00,08:20:00,552,PRDP,PARADEEP,VSKP,VISAKHAPATNAM
22810,VSKP-PRDP WE,1,VSKP,VISAKHAPATNA,23:50:00,23:50:00,0,VSKP,VISAKHAPATNAM,PRDP,PARADEEP
