Train No,Train Name,SEQ,Station Code,Station Name,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Destination Station,Destination Station Name
12839,HWH-MAS MAIL,1,HWH,HOWRAH JN.,23:45:00,23:45:00,0,HWH,HOWRAH JN.,MAS,CHENNAI CENTRAL
12840,MAS-HWH MAIL,36,HWH,HOWRAH JN.,04:00:00,04:00:00,1663,MAS,CHENNAI CENTRAL,HWH,HOWRAH JN.
12841,HOWRAH-CHENN,1,HWH,HOWRAH JN.,14:50:00,14:50:00,0,HWH,HOWRAH JN.,MAS,CHENNAI CENTRAL
12842,COROMANDEL E,17,HWH,HOWRAH JN.,11:50:00,11:50:00,1663,MAS,CHENNAI CENTRAL,HWH,HOWRAH JN.
12847,HWH-DGHA SUP,1,HWH,HOWRAH JN.,11:10:00,11:10:00,0,HWH,HOWRAH JN.,DGHA,DIGHA FS
12848,DGHA-HWH SUP,5,HWH,HOWRAH JN.,18:40:00,18:40:00,186,DGHA,DIGHA FS,HWH,HOWRAH JN.
12857,TAMRALIPTA,1,HWH,HOWRAH JN.,06:35:00,06:35:00,0,HWH,HOWRAH JN.,DGHA,DIGHA FS
12858,TAMRALIPTA,8,HWH,HOWRAH JN.,13:50:00,13:50:00,186,DGHA,DIGHA FS,HWH,HOWRAH JN.
12859,HWH-CSMT,27,HWH,HOWRAH JN.,12:30:00,12:30:00,1972,CSMT,CST-MUMBAI,HWH,HOWRAH JN.
12860,HWH-CSMT GEE,1,HWH,HOWRAH JN.,13:50:00,13:50:00,0,HWH,HOWRAH JN.,CSMT,CST-MUMBAI
12863,HOWRAH YESVA,1,HWH,HOWRAH JN.,20:35:00,20:35:00,0,HWH,HOWRAH JN.,YPR,YESVANTPUR JN.
12864,YPR HOWRAH E,36,HWH,HOWRAH JN.,06:25:00,06:25:00,1959,YPR,YESVANTPUR JN.,HWH,HOWRAH JN.
12865,HWH-PRR LALM,1,HWH,HOWRAH JN.,08:30:00,08:30:00,0,HWH,HOWRAH JN.,PRR,PURULIA JN.
12866,PRR-HWH LALM,9,HWH,HOWRAH JN.,20:30:00,20:30:00,343,PRR,PURULIA JN.,HWH,HOWRAH JN.
12867,HWH-PDY WEEK,1,HWH,HOWRAH JN.,23:30:00,23:30:00,0,HWH,HOWRAH JN.,PDY,PONDICHERRY
12868,PDY-HWH WKY,16,HWH,HOWRAH JN.,22:40:00,22:40:00,1922,PDY,PONDICHERRY,HWH,HOWRAH JN.
12869,CSMT-HWH WEE,20,HWH,HOWRAH JN.,19:30:00,19:30:00,1972,CSMT,CST-MUMBAI,HWH,HOWRAH JN.
12870,HWH-CSTM WEE,1,HWH,HOWRAH JN.,14:35:00,14:35:00,0,HWH,HOWRAH JN.,CSMT,CST-MUMBAI
12871,HWH-TIG ISPA,1,HWH,HOWRAH JN.,06:55:00,06:55:00,0,HWH,HOWRAH JN.,TIG,TITLA GARH JN.
12872,TIG-HWH ISPA,31,HWH,HOWRAH JN.,18:50:00,18:50:00,746,TIG,TITLA GARH JN.,HWH,HOWRAH JN.
12881,HWH-PURI GAR,1,HWH,HOWRAH JN.,20:55:00,20:55:00,0,HWH,HOWRAH JN.,PURI,PURI
12882,PURI-HWH GAR,9,HWH,HOWRAH JN.,07:05:00,07:05:00,503,PURI,PURI,HWH,HOWRAH JN.
12884,PURULIA HWH,13,HWH,HOWRAH JN.,21:15:00,21:15:00,330,PRR,PURULIA JN.,HWH,HOWRAH JN.
12887,HWH-PURI S/F,1,HWH,HOWRAH JN.,20:55:00,20:55:00,0,HWH,HOWRAH JN.,PURI,PURI
12888,PURI-HWH S/F,11,HWH,HOWRAH JN.,07:05:00,07:05:00,503,PURI,PURI,HWH,HOWRAH JN.
12895,HWH-PURI WEE,1,HWH,HOWRAH JN.,20:55:00,20:55:00,0,HWH,HOWRAH JN.,PURI,PURI
12896,PURI-HWH WEE,11,HWH,HOWRAH JN.,07:05:00,07:05:00,503,PURI,PURI,HWH,HOWRAH JN.
12905,PBR HOWRAH E,30,HWH,HOWRAH JN.,03:35:00,03:35:00,2559,PBR,PORBANDAR,HWH,HOWRAH JN.
12906,HWH PBR  OKH,1,HWH,HOWRAH JN.,22:50:00,22:50:00,0,HWH,HOWRAH JN.,PBR,PORBANDAR
12937,GARBHA EXPRE,17,HWH,HOWRAH JN.,13:05:00,13:05:00,2509,GIMB,GANDHIDHAM JN.,HWH,HOWRAH JN.
12938,GARBHA EXPRE,1,HWH,HOWRAH JN.,23:00:00,23:00:00,0,HWH,HOWRAH JN.,GIMB,GANDHIDHAM JN.
13005,AMRITSAR MAI,1,HWH,HOWRAH JN.,19:10:00,19:10:00,0,HWH,HOWRAH JN.,ASR,AMRITSAR JN.
13006,ASR HWH MAIL,56,HWH,HOWRAH JN.,07:20:00,07:20:00,1907,ASR,AMRITSAR JN.,HWH,HOWRAH JN.
13007,U ABHATOOFAN,1,HWH,HOWRAH JN.,09:35:00,09:35:00,0,HWH,HOWRAH JN.,SGNR,SHRI GANGANAGAR
13008,U A TOOFAN E,108,HWH,HOWRAH JN.,19:30:00,19:30:00,1952,SGNR,SHRI GANGANAGAR,HWH,HOWRAH JN.
13009,DOON EXPRESS,1,HWH,HOWRAH JN.,20:25:00,20:25:00,0,HWH,HOWRAH JN.,DDN,DEHRA DUN
13010,DOON EXPRESS,78,HWH,HOWRAH JN.,06:55:00,06:55:00,1559,DDN,DEHRA DUN,HWH,HOWRAH JN.
13011,HWH MLDT INT,1,HWH,HOWRAH JN.,15:25:00,15:25:00,0,HWH,HOWRAH JN.,MLDT,MALDA TOWN
13012,MLDT  HWH IN,18,HWH,HOWRAH JN.,11:25:00,11:25:00,340,MLDT,MALDA TOWN,HWH,HOWRAH JN.
13015,HWH-BHP KAVI,1,HWH,HOWRAH JN.,10:40:00,10:40:00,0,HWH,HOWRAH JN.,BHP,BOLPUR
13016,BHP-HWH KAVI,5,HWH,HOWRAH JN.,17:15:00,17:15:00,158,BHP,BOLPUR,HWH,HOWRAH JN.
13017,GANADEVTA EX,1,HWH,HOWRAH JN.,06:05:00,06:05:00,0,HWH,HOWRAH JN.,AZ,AZIMGANJ JN.
13018,GANADEVTA EX,15,HWH,HOWRAH JN.,21:45:00,21:45:00,275,AZ,AZIMGANJ JN.,HWH,HOWRAH JN.
13019,BAGH EXPRESS,1,HWH,HOWRAH JN.,21:45:00,21:45:00,0,HWH,HOWRAH JN.,KGM,KATHGODAM
13020,BAGH EXPRESS,64,HWH,HOWRAH JN.,12:40:00,12:40:00,1521,KGM,KATHGODAM,HWH,HOWRAH JN.
13021,MITHILA EXPR,1,HWH,HOWRAH JN.,00:00:00,15:45:00,0,HWH,HOWRAH JN.,RXL,RAXAUL JN.
13022,MITHILA EXPR,42,HWH,HOWRAH JN.,04:00:00,00:00:00,692,RXL,RAXAUL JN.,HWH,HOWRAH JN.
13023,HOWRAH GAYA,1,HWH,HOWRAH JN.,00:00:00,19:50:00,0,HWH,HOWRAH JN.,GAYA,GAYA JN.
13024,GAYA HOWRAH,33,HWH,HOWRAH JN.,03:40:00,03:40:00,658,GAYA,GAYA JN.,HWH,HOWRAH JN.
13027,KAVI GURU EX,1,HWH,HOWRAH JN.,22:40:00,22:40:00,0,HWH,HOWRAH JN.,AZ,AZIMGANJ JN.
13028,KAVI GURU EX,11,HWH,HOWRAH JN.,13:55:00,13:55:00,275,AZ,AZIMGANJ JN.,HWH,HOWRAH JN.
13033,HWH-KIR EXP,1,HWH,HOWRAH JN.,21:25:00,21:25:00,0,HWH,HOWRAH JN.,KIR,KATIHAR JN.
