Train No,Train Name,SEQ,Station Code,Station Name,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Destination Station,Destination Station Name
18408,SNSI-PURI WE,24,BBS,BHUBANESWAR,19:40:00,19:45:00,1628,SNSI,SAI NAGAR SHIRDI,PURI,PURI
18409,SRIJAGANNATH,17,BBS,BHUBANESWAR,02:30:00,02:35:00,442,HWH,HOWRAH JN.,PURI,PURI
18410,SRIJAGANNATH,4,BBS,BHUBANESWAR,23:45:00,23:50:00,62,PURI,PURI,HWH,HOWRAH JN.
18413,PRDP-PURI IN,8,BBS,BHUBANESWAR,20:25:00,20:30:00,109,PRDP,PARADEEP,PURI,PURI
18414,PURI-PRDP IN,5,BBS,BHUBANESWAR,07:30:00,07:35:00,62,PURI,PURI,PRDP,PARADEEP
18415,BBN-PURI INT,26,BBS,BHUBANESWAR,18:35:00,18:40:00,334,BBN,BARBIL,PURI,PURI
18416,PURI-BBN INT,5,BBS,BHUBANESWAR,07:30:00,07:35:00,62,PURI,PURI,BBN,BARBIL
18419,PURI-JYG WEE,3,BBS,BHUBANESWAR,15:45:00,15:50:00,62,PURI,PURI,JYG,JAYNAGAR
18420,JYG-PURI WEE,22,BBS,BHUBANESWAR,01:00:00,01:05:00,936,JYG,JAYNAGAR,PURI,PURI
18421,PURI-AII BI-,3,BBS,BHUBANESWAR,00:05:00,00:10:00,62,PURI,PURI,AII,AJMER JN.
18422,AII-PURI BI-,39,BBS,BHUBANESWAR,16:30:00,16:35:00,2416,AII,AJMER JN.,PURI,PURI
18425,PURI-DURG EX,3,BBS,BHUBANESWAR,19:55:00,20:00:00,62,PURI,PURI,DURG,DURG
18426,DURG - PURI,26,BBS,BHUBANESWAR,07:30:00,07:35:00,741,DURG,DURG,PURI,PURI
18447,BBS-JDB HIRA,1,BBS,BHUBANESWAR,19:35:00,19:35:00,0,BBS,BHUBANESWAR,JDB,JAGADALPUR
18448,JDB-BBS HIRA,41,BBS,BHUBANESWAR,08:30:00,08:30:00,784,JDB,JAGADALPUR,BBS,BHUBANESWAR
18449,PURI-PNBE BA,4,BBS,BHUBANESWAR,15:45:00,15:50:00,62,PURI,PURI,PNBE,PATNA JN.
18450,PNBE-PURI BA,24,BBS,BHUBANESWAR,01:00:00,01:05:00,864,PNBE,PATNA JN.,PURI,PURI
18451,HTE-PURI TAP,22,BBS,BHUBANESWAR,05:20:00,05:25:00,624,HTE,HATIA,PURI,PURI
18452,PURI-HTE TAP,3,BBS,BHUBANESWAR,21:10:00,21:15:00,62,PURI,PURI,HTE,HATIA
18463,BBS-SBC PRAS,1,BBS,BHUBANESWAR,05:30:00,05:30:00,0,BBS,BHUBANESWAR,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)
18464,SBC-BBS PRAS,46,BBS,BHUBANESWAR,20:50:00,00:00:00,1545,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),BBS,BHUBANESWAR
18477,PURI-HW UTKA,4,BBS,BHUBANESWAR,22:10:00,22:15:00,62,PURI,PURI,HW,HARIDWAR JN
18478,KALINGAUTKAL,72,BBS,BHUBANESWAR,04:15:00,04:20:00,2291,HW,HARIDWAR JN,PURI,PURI
18495,RMM-BBS WEEK,25,BBS,BHUBANESWAR,18:40:00,18:40:00,1884,RMM,RAMESWARAM,BBS,BHUBANESWAR
18496,BBS-RMM WEEK,1,BBS,BHUBANESWAR,12:00:00,12:00:00,0,BBS,BHUBANESWAR,RMM,RAMESWARAM
18507,VSKP-ASR HIR,9,BBS,BHUBANESWAR,06:50:00,06:55:00,442,VSKP,VISAKHAPATNAM,ASR,AMRITSAR JN.
18508,ASR-VSKP HIR,40,BBS,BHUBANESWAR,16:15:00,16:20:00,2114,ASR,AMRITSAR JN.,VSKP,VISAKHAPATNAM
18645,HWH HYB EAST,19,BBS,BHUBANESWAR,19:35:00,19:40:00,442,HWH,HOWRAH JN.,HYB,HYDERABAD DECCAN
18646,HYB-HWH EAST,41,BBS,BHUBANESWAR,07:35:00,07:40:00,1161,HYB,HYDERABAD DECCAN,HWH,HOWRAH JN.
20813,PURI-JODHPUR,4,BBS,BHUBANESWAR,17:10:00,17:15:00,62,PURI,PURI,JU,JODHPUR JN.
20814,JODHPUR-PURI,40,BBS,BHUBANESWAR,08:25:00,08:35:00,2364,JU,JODHPUR JN.,PURI,PURI
20815,TATA-VSKP WE,13,BBS,BHUBANESWAR,21:55:00,22:00:00,420,TATA,TATANAGAR JN,VSKP,VISAKHAPATNAM
20816,VSKP-TATA WE,12,BBS,BHUBANESWAR,00:45:00,00:50:00,442,VSKP,VISAKHAPATNAM,TATA,TATANAGAR JN
20817,BBS-NDLS VIA,1,BBS,BHUBANESWAR,07:10:00,07:10:00,0,BBS,BHUBANESWAR,NDLS,NEW DELHI
20818,NDLS-BBS VIA,13,BBS,BHUBANESWAR,20:35:00,20:35:00,1894,NDLS,NEW DELHI,BBS,BHUBANESWAR
20889,HWH BZA HUMS,4,BBS,BHUBANESWAR,19:25:00,19:40:00,442,HWH,HOWRAH JN.,BZA,VIJAYWADA JN.
